address,name,price_feed,price_feed_is_mocked,ftx_pair_name,is_short_position
0xe05F46AAfa9919f722bc83fbD2Bb7B3Ac23E1Bc2,TWTRDOWN,0x174E0b98De1362D57563EBdF0c4A695869f453Bf,1,,0
0xd1Cc87496aF84105699E82D46B6c5Ab6775Afae4,USDT,0x7898AcCC83587C3C55116c5230C17a6Cd9C71bad,0,,0
0xbC9052c594261Acc1a26271567bDb72A8A1Acac9,WBTC ,0x31CF013A08c6Ac228C94551d535d5BAfE19c602a,0,,0
0xa19baf63747637D0233702bA8F1eFcD6729db4DF,TSLADOWN,0xE02340Cb4D307E9Ba9227c9Ca9719Bd04Bde444C,1,,0
0xa0D0693047cC189D5742160941c1703857616889,JPY,0x974f2A9362b429B6DEA2Db7d8b346a09a719d67b,1,,0
0xFb1438372dB41dAFFcf4019e80eAE2D673B8c3b7,GLDDOWN,0x1779AA9AB2D76B62416849caB0a3f6ba1B098776,1,,0
0xE85e1219691aF541F064E111161174C1F7Db2e84,BTCDOWN,0xC8d3d3b794F9aCc39aec53c389484fC32eaf149c,1,,0
0xC7c69FFC3561fb3284F4d6D25d8b69D8CB3b59e9,AAPLDOWN,0xD3a0CB2B751efbBd09ACcD8bC930eA65BFaB8cd8,1,,0
0xB7B8E01a9F5dFe405c37b667E8F81a66D4f629EA,ETHDOWN,0x41B091d0b7cC4396401A5f65189Fa55167B944F9,1,,0
0xA964EeaE6e77B1d01432942bc31186cB56eA5804,LINKDOWN,0xcc074927Eb35C90a66153A2dfe0ae7BD592a2537,1,,0
0x9Bb8F40d53DA2796F34d85f5bf27C475Df03E70C,AAVE,0x15fE0276686097996D6c4724762E8D1BF74E9471,1,,0
0x96058B65CE7d0DBa4B85DAf49E06663B97442137,WETH ,0x86d67c3D38D2bCeE722E601025C25a575021c6EA,0,,0
0x930b24b4b578409153501429cc256FBbDAB6e893,AAPL,0x4f438F75E6493E8A1056eBbBa2478206ED4aF3cD,1,,0
0x7f5BE805EFdbc5b42A3cfBC41B2961A0A9d9e3B2,USDTDOWN,0x9a13BE5e8D310C07BF4dBE7Dc4CF5b699AA5430a,1,,0
0x7D157E24f3D6FB7Bd8B3008A76DFBCde267daCa8,GLD,0x48fE6f1beF4161f267E2FBFf9E7fb8D839997dcC,1,,0
0x6cEeB8fec16F7276F57ACF70C14ecA6008d3DDD4,WAVAX,0x5498BB86BC934c8D34FDA08E81D444153d0D06aD,0,,0
0x6499b7b57D07a9091eB7cE5548c086308a868Fe9,GOOGL,0x72Bf7e003B0764bDb168Bc853232019b36ae6d2E,1,,0
0x5B3a2CAED90515e36830167529AFeDea75419b7a,LINK ,0x34C4c526902d88a3Aa98DB8a9b802603EB1E3470,0,,0
0x33506d382684db988D9021A80dBEeEF46a5ABC3A,AVAXDOWN,0xd5A3c39344a71Fa403e7E023008c288Bf5061670,1,,0
0x3339f437Fd3abCdaD135446B6F05bB957Bb29c6A,EUR,0x124c6F2c44EdC96dD7604e42224fE2814c8F0101,1,,0
0x22044e0e4E2D774f34227FC8a1BF804Ff9Fc9A35,TSLA,0x58B4b7949D344d3357F953011B98FdB6C128D174,1,,0
0x181Bf62B82AFafa87630C819482ABbA819e49601,TWTR,0x44e4b0db600623F2F97751e933396126B8661561,1,,0
0x0690b3F6f8271b000f800F051f82B65F41D29C5E,AAVEDOWN,0x54025679199DC617f0BC77E11448c584c4C74D97,1,,0
